dataset,file,unit,variable,variable_group,r_class,non_missing_n,missing_n,unique_n,description
mun_entry_new,mun_entry_new.csv,lgcode,first_founded_year_observed,entry_new_firms,integer,753,1,11,Earliest founding year observed among active firms in the municipality within the selected entry window.
mun_entry_new,mun_entry_new.csv,lgcode,last_founded_year_observed,entry_new_firms,integer,753,1,3,Latest founding year observed among active firms in the municipality within the selected entry window.
mun_entry_new,mun_entry_new.csv,lgcode,log_new_firms_total,entry_new_firms,numeric,754,0,604,log(1 + total observed new firms in the 1980-2018 founding-year window).
mun_entry_new,mun_entry_new.csv,lgcode,n_entry_years_observed,entry_new_firms,integer,753,1,24,Number of distinct founding years observed among active firms in the municipality within the selected entry window.
mun_entry_new,mun_entry_new.csv,lgcode,new_agriculture,entry_new_firms,integer,754,0,122,Number of observed new firms in the industry group shown in the variable name. New firms are based on founding year among active firms observed in NEC 2018.
mun_entry_new,mun_entry_new.csv,lgcode,new_construction,entry_new_firms,integer,754,0,25,Number of observed new firms in the industry group shown in the variable name. New firms are based on founding year among active firms observed in NEC 2018.
mun_entry_new,mun_entry_new.csv,lgcode,new_finance_prof_info,entry_new_firms,integer,754,0,125,Number of observed new firms in the industry group shown in the variable name. New firms are based on founding year among active firms observed in NEC 2018.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1980,entry_new_firms,integer,754,0,15,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1981,entry_new_firms,integer,754,0,15,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1982,entry_new_firms,integer,754,0,14,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1983,entry_new_firms,integer,754,0,34,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1984,entry_new_firms,integer,754,0,13,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1985,entry_new_firms,integer,754,0,20,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1986,entry_new_firms,integer,754,0,17,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1987,entry_new_firms,integer,754,0,19,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1988,entry_new_firms,integer,754,0,39,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1989,entry_new_firms,integer,754,0,23,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1990,entry_new_firms,integer,754,0,23,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1990_1999,entry_new_firms,integer,754,0,191,Number of active firms observed in NEC 2018 founded in the cohort period shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1991,entry_new_firms,integer,754,0,27,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1992,entry_new_firms,integer,754,0,26,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1993,entry_new_firms,integer,754,0,71,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1994,entry_new_firms,integer,754,0,31,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1995,entry_new_firms,integer,754,0,47,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1996,entry_new_firms,integer,754,0,37,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1997,entry_new_firms,integer,754,0,45,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1998,entry_new_firms,integer,754,0,74,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_1999,entry_new_firms,integer,754,0,46,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2000,entry_new_firms,integer,754,0,47,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2000_2009,entry_new_firms,integer,754,0,333,Number of active firms observed in NEC 2018 founded in the cohort period shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2001,entry_new_firms,integer,754,0,71,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2002,entry_new_firms,integer,754,0,53,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2003,entry_new_firms,integer,754,0,123,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2004,entry_new_firms,integer,754,0,55,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2005,entry_new_firms,integer,754,0,81,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2006,entry_new_firms,integer,754,0,88,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2007,entry_new_firms,integer,754,0,98,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2008,entry_new_firms,integer,754,0,163,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2009,entry_new_firms,integer,754,0,100,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2010,entry_new_firms,integer,754,0,117,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2010_2014,entry_new_firms,integer,754,0,395,Number of active firms observed in NEC 2018 founded in the cohort period shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2011,entry_new_firms,integer,754,0,158,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2012,entry_new_firms,integer,754,0,163,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2013,entry_new_firms,integer,754,0,222,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2014,entry_new_firms,integer,754,0,192,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2015,entry_new_firms,integer,754,0,244,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2015_2018,entry_new_firms,integer,754,0,476,Number of active firms observed in NEC 2018 founded in the cohort period shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2016,entry_new_firms,integer,754,0,265,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2017,entry_new_firms,integer,754,0,324,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_2018,entry_new_firms,integer,754,0,102,Number of active firms observed in NEC 2018 that report being founded in the year shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_pre_1990,entry_new_firms,integer,754,0,91,Number of active firms observed in NEC 2018 founded in the cohort period shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,new_firms_total,entry_new_firms,integer,754,0,604,"Total number of observed new firms in the 1980-2018 founding-year window. NEC 2018 observes only firms active in 2018, so this is an observed surviving cohort count."
mun_entry_new,mun_entry_new.csv,lgcode,new_hospitality,entry_new_firms,integer,754,0,294,Number of observed new firms in the industry group shown in the variable name. New firms are based on founding year among active firms observed in NEC 2018.
mun_entry_new,mun_entry_new.csv,lgcode,new_manufacturing,entry_new_firms,integer,754,0,269,Number of observed new firms in the industry group shown in the variable name. New firms are based on founding year among active firms observed in NEC 2018.
mun_entry_new,mun_entry_new.csv,lgcode,new_other_services,entry_new_firms,integer,754,0,201,Number of observed new firms in the industry group shown in the variable name. New firms are based on founding year among active firms observed in NEC 2018.
mun_entry_new,mun_entry_new.csv,lgcode,new_social_services,entry_new_firms,integer,754,0,169,Number of observed new firms in the industry group shown in the variable name. New firms are based on founding year among active firms observed in NEC 2018.
mun_entry_new,mun_entry_new.csv,lgcode,new_trade_retail,entry_new_firms,integer,754,0,504,Number of observed new firms in the industry group shown in the variable name. New firms are based on founding year among active firms observed in NEC 2018.
mun_entry_new,mun_entry_new.csv,lgcode,new_transport,entry_new_firms,integer,754,0,32,Number of observed new firms in the industry group shown in the variable name. New firms are based on founding year among active firms observed in NEC 2018.
mun_entry_new,mun_entry_new.csv,lgcode,new_utilities_mining,entry_new_firms,integer,754,0,44,Number of observed new firms in the industry group shown in the variable name. New firms are based on founding year among active firms observed in NEC 2018.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_1990_1999,entry_new_firms,numeric,754,0,731,Share of municipality's observed new firms founded in the cohort period shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_2000_2009,entry_new_firms,numeric,754,0,729,Share of municipality's observed new firms founded in the cohort period shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_2010_2014,entry_new_firms,numeric,754,0,737,Share of municipality's observed new firms founded in the cohort period shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_2015_2018,entry_new_firms,numeric,754,0,741,Share of municipality's observed new firms founded in the cohort period shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_agriculture,entry_new_firms,numeric,754,0,698,Share of observed new firms in the industry group shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_construction,entry_new_firms,numeric,754,0,309,Share of observed new firms in the industry group shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_finance_prof_info,entry_new_firms,numeric,754,0,680,Share of observed new firms in the industry group shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_hospitality,entry_new_firms,numeric,754,0,734,Share of observed new firms in the industry group shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_manufacturing,entry_new_firms,numeric,754,0,737,Share of observed new firms in the industry group shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_other_services,entry_new_firms,numeric,754,0,729,Share of observed new firms in the industry group shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_pre_1990,entry_new_firms,numeric,754,0,710,Share of municipality's observed new firms founded in the cohort period shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_social_services,entry_new_firms,numeric,754,0,732,Share of observed new firms in the industry group shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_trade_retail,entry_new_firms,numeric,754,0,734,Share of observed new firms in the industry group shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_transport,entry_new_firms,numeric,754,0,556,Share of observed new firms in the industry group shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,share_new_utilities_mining,entry_new_firms,numeric,754,0,512,Share of observed new firms in the industry group shown in the variable name.
mun_entry_new,mun_entry_new.csv,lgcode,lgcode,identifier,character,754,0,754,Municipality/local-government code. This is the key for merging all compact NEC outputs.
mun_industry_structure,mun_industry_structure.csv,lgcode,lgcode,identifier,character,754,0,754,Municipality/local-government code. This is the key for merging all compact NEC outputs.
mun_industry_structure,mun_industry_structure.csv,lgcode,industry_diversity,industry_structure,numeric,754,0,754,Industry diversity index: 1 - industry_hhi. Higher values indicate a more diversified local enterprise structure.
mun_industry_structure,mun_industry_structure.csv,lgcode,industry_hhi,industry_structure,numeric,754,0,754,Industry Herfindahl-Hirschman Index: sum of squared industry shares. Higher values indicate more concentrated local industry structure.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_firms_agriculture,industry_structure,integer,754,0,124,Number of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_firms_construction,industry_structure,integer,754,0,27,Number of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_firms_finance_prof_info,industry_structure,integer,754,0,129,Number of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_firms_hospitality,industry_structure,integer,754,0,287,Number of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_firms_manufacturing,industry_structure,integer,754,0,268,Number of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_firms_other_services,industry_structure,integer,754,0,209,Number of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_firms_social_services,industry_structure,integer,754,0,180,Number of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_firms_trade_retail,industry_structure,integer,754,0,522,Number of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_firms_transport,industry_structure,integer,754,0,34,Number of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_firms_utilities_mining,industry_structure,integer,754,0,46,Number of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,n_industries_present,industry_structure,integer,754,0,8,Number of compact industry groups with at least one active firm in the municipality.
mun_industry_structure,mun_industry_structure.csv,lgcode,share_agriculture,industry_structure,numeric,754,0,697,Share of active firms in the municipality belonging to the industry group shown in the variable name.
mun_industry_structure,mun_industry_structure.csv,lgcode,share_construction,industry_structure,numeric,754,0,312,Share of active firms in the municipality belonging to the industry group shown in the variable name.
